    n_win  win_start  win_end      seg_sites_branch            tajimas_d_site          tajimas_d_branch                diversity     Gen
11     11    55000.0  59999.0   [9685.000000000002]     [-0.5637808100630112]      [-0.778733424842072]   [0.013976884422110529]   200.0
12     12    60000.0  64999.0   [9692.560000000001]     [-0.8367816839956257]     [-0.7659570480978032]   [0.012229939698492426]   200.0
13     13    65000.0  69999.0            [9722.173]     [-0.7468758912151882]     [-0.7473996703088105]   [0.012379798994974822]   200.0
14     14    70000.0  74999.0   [9752.839200000002]     [-0.5430407951438314]     [-0.7586393107689693]    [0.01380319597989945]   200.0
15     15    75000.0  79999.0   [9755.000000000002]     [-0.7554777064601067]      [-0.763281596425934]    [0.01168389949748738]   200.0
16     16    80000.0  84999.0   [9755.000000000002]     [-0.7659795094767999]       [-0.76328159642593]   [0.012569497487437114]   200.0
17     17    85000.0  89999.0   [9755.000000000002]     [-0.6544271408507943]      [-0.763281596425926]    [0.01254660301507531]   200.0
18     18    90000.0  94999.0   [9755.000000000002]     [-0.7712643993118323]     [-0.7632815964259141]   [0.012412582914572786]   200.0
19     19    95000.0  99999.0   [9755.000000000004]     [-0.8253339966308442]     [-0.7632815964259069]   [0.011807055276381848]   200.0
0       0        0.0   4999.0             [10557.0]     [-1.1055148878878658]       [-1.01747529160982]    [0.01200827135678388]   295.0
1       1     5000.0   9999.0          [10557.6294]     [-1.1908826096419745]     [-1.0788349780678586]   [0.010509326633165802]   295.0
2       2    10000.0  14999.0  [10558.000000000002]     [-1.1567362743627296]     [-1.1149610441530469]   [0.011234422110552738]   295.0
3       3    15000.0  19999.0  [10558.000000000004]     [-1.1300779983908535]      [-1.114961044153047]   [0.011845849246231121]   295.0
4       4    20000.0  24999.0  [10558.000000000002]      [-1.038313595428602]     [-1.1149610441530478]   [0.012183869346733631]   295.0
5       5    25000.0  29999.0  [10558.000000000002]      [-0.897634376783514]     [-1.1149610441530524]   [0.013047678391959763]   295.0
6       6    30000.0  34999.0  [10558.000000000002]     [-0.9940416818617965]     [-1.1149610441530529]    [0.01212577889447232]   295.0
7       7    35000.0  39999.0  [10558.000000000002]     [-1.0522182884751319]     [-1.1149610441530529]   [0.012818170854271312]   295.0
8       8    40000.0  44999.0  [10543.484800000002]     [-1.0782020050153436]      [-1.113198917720421]   [0.011846341708542667]   295.0
9       9    45000.0  49999.0  [10418.807200000001]     [-1.0262864232468518]     [-1.1220245685120172]   [0.012762974874371823]   295.0
10     10    50000.0  54999.0  [10053.000000000002]     [-1.0751778797668832]     [-1.1532140169093068]   [0.012249718592964797]   295.0
11     11    55000.0  59999.0  [10053.000000000002]      [-1.226494497667334]     [-1.1532140169093061]   [0.012036412060301474]   295.0
12     12    60000.0  64999.0  [10053.000000000002]     [-1.1790455675888447]     [-1.1532140169093044]   [0.011371939698492421]   295.0
13     13    65000.0  69999.0  [10053.000000000002]     [-1.0234046892120219]     [-1.1532140169093035]   [0.010800743718592935]   295.0
14     14    70000.0  74999.0  [10053.000000000002]     [-0.9465012934464657]     [-1.1532140169093017]   [0.012410331658291415]   295.0
15     15    75000.0  79999.0  [10053.000000000002]     [-1.2219554652092872]     [-1.1532140169092975]   [0.009775035175879356]   295.0
16     16    80000.0  84999.0  [10053.000000000002]     [-1.0790627208724861]      [-1.153214016909296]   [0.010910954773869311]   295.0
17     17    85000.0  89999.0  [10053.000000000002]     [-1.0764615662473183]     [-1.1532140169092935]    [0.01144697487437183]   295.0
18     18    90000.0  94999.0  [10053.000000000002]     [-1.1556927407009858]     [-1.1532140169092875]    [0.01043017085427133]   295.0
19     19    95000.0  99999.0  [10053.000000000004]     [-1.2152198918710118]     [-1.1532140169092853]   [0.010276070351758773]   295.0
0       0        0.0   4999.0             [10922.0]     [-1.1553557553960738]     [-1.0281545115053417]   [0.012314824120602984]   300.0
1       1     5000.0   9999.0          [10922.6294]     [-1.2669667136642484]     [-1.0901485960395336]    [0.01079626130653264]   300.0
2       2    10000.0  14999.0  [10923.000000000002]     [-1.1959388728989941]     [-1.1266482852164639]     [0.0116422010050251]   300.0
3       3    15000.0  19999.0  [10923.000000000002]     [-1.1207370313611542]     [-1.1266482852164639]   [0.012433306532663288]   300.0
4       4    20000.0  24999.0  [10923.000000000002]     [-1.0926119106436902]     [-1.1266482852164648]    [0.01257816080402007]   300.0
5       5    25000.0  29999.0  [10923.000000000002]     [-0.9503858972968149]     [-1.1266482852164683]   [0.013567547738693467]   300.0
6       6    30000.0  34999.0  [10923.000000000002]     [-0.9915433213921854]     [-1.1266482852164683]   [0.012588221105527604]   300.0
7       7    35000.0  39999.0  [10923.000000000002]     [-1.0360854006751035]      [-1.126648285216469]    [0.01330757788944723]   300.0
8       8    40000.0  44999.0          [10910.0526]     [-1.0529700085493554]     [-1.1248762561339087]   [0.012170482412060276]   300.0
9       9    45000.0  49999.0  [10796.807200000001]     [-1.1037421739288849]     [-1.1468900477667703]   [0.013072974874371814]   300.0
10     10    50000.0  54999.0  [10431.000000000002]     [-1.1009612436431444]     [-1.1995233175285978]   [0.012303879396984886]   300.0
11     11    55000.0  59999.0  [10431.000000000002]     [-1.1428527924392444]     [-1.1995233175285982]    [0.01223558793969846]   300.0
12     12    60000.0  64999.0  [10431.000000000002]      [-1.241251053304797]     [-1.1995233175286075]   [0.011422100502512517]   300.0
13     13    65000.0  69999.0  [10431.000000000002]      [-1.136719367889715]      [-1.199523317528609]   [0.010659276381909506]   300.0
14     14    70000.0  74999.0  [10429.680000000002]     [-0.9853221367514987]     [-1.2002412209727578]   [0.012576180904522576]   300.0
15     15    75000.0  79999.0  [10428.000000000002]     [-1.2601597915309926]     [-1.2011551791235437]   [0.009752964824120578]   300.0
16     16    80000.0  84999.0  [10428.000000000002]     [-1.1110365393178303]     [-1.2011551791235482]   [0.011015216080401978]   300.0
17     17    85000.0  89999.0  [10428.000000000002]     [-1.1348118318892435]     [-1.2011551791235533]   [0.011575648241205995]   300.0
18     18    90000.0  94999.0  [10428.000000000004]     [-1.2653868923984517]     [-1.2011551791235666]   [0.010348844221105515]   300.0
19     19    95000.0  99999.0  [10428.000000000004]     [-1.2318574576249024]      [-1.201155179123574]   [0.010295618090452232]   300.0
0       0        0.0   4999.0              [9827.0]     [-0.9434112059691117]     [-0.8388280975047344]   [0.012282542713567794]   395.0
1       1     5000.0   9999.0           [9827.6294]     [-0.9474667368165666]     [-0.8375747782782238]   [0.011393567839195947]   395.0
2       2    10000.0  14999.0   [9828.000000000004]     [-0.9283629411010714]     [-0.8368368805272687]    [0.01219421105527635]   395.0
3       3    15000.0  19999.0   [9828.000000000002]     [-0.7127992657207941]     [-0.8368368805272685]   [0.012790402010050212]   395.0
4       4    20000.0  24999.0   [9830.079200000002]     [-0.8450060911053398]     [-0.8373082526942749]   [0.012590050251256235]   395.0
5       5    25000.0  29999.0   [9832.000000000002]     [-0.7510256292359413]     [-0.8377435370851029]   [0.014032492462311547]   395.0
6       6    30000.0  34999.0   [9832.000000000002]     [-0.8106375046109264]     [-0.8377435370851032]   [0.012951939698492421]   395.0
7       7    35000.0  39999.0   [9832.000000000002]      [-0.611399511495208]     [-0.8377435370851017]    [0.01391835175879396]   395.0
8       8    40000.0  44999.0   [9832.000000000002]     [-0.7973846794880584]     [-0.8377435370851024]   [0.012510331658291409]   395.0
9       9    45000.0  49999.0   [9713.807200000001]      [-0.723240791170307]      [-0.866187297940347]   [0.013212783919597959]   395.0
10     10    50000.0  54999.0   [9348.000000000002]     [-0.9674878362272841]     [-0.9587788599398954]   [0.011746080402010015]   395.0
11     11    55000.0  59999.0   [9348.000000000002]     [-0.8445933747526729]      [-0.958778859939895]   [0.012567085427135647]   395.0
12     12    60000.0  64999.0   [9348.000000000002]     [-0.9128549474234744]     [-0.9587788599398904]    [0.01178828140703515]   395.0
13     13    65000.0  69999.0   [9348.000000000002]     [-0.8380519126937429]     [-0.9587788599398893]   [0.011138321608040156]   395.0
14     14    70000.0  74999.0   [9348.000000000002]     [-0.8227612784396402]     [-0.9587788599399079]   [0.011997587939698453]   395.0
15     15    75000.0  79999.0   [9348.000000000002]     [-1.0695331797582541]     [-0.9587788599399079]   [0.010321517587939673]   395.0
16     16    80000.0  84999.0   [9348.000000000002]     [-0.8747814498014949]     [-0.9587788599399044]   [0.010940462311557767]   395.0
17     17    85000.0  89999.0   [9348.000000000002]     [-0.8632739565570821]     [-0.9587788599399006]    [0.01124423115577886]   395.0
18     18    90000.0  94999.0   [9364.660000000002]     [-1.0306057174524135]     [-0.9635048813948686]   [0.010509798994974834]   395.0
19     19    95000.0  99999.0   [9383.000000000002]     [-1.1226649119639671]     [-0.9686880699825138]   [0.009908864321608025]   395.0
0       0        0.0   4999.0              [9710.0]     [-1.0897377139842785]     [-0.9940616456987518]   [0.011398221105527614]   400.0
1       1     5000.0   9999.0           [9720.1238]     [-1.0888414456846807]     [-0.9851664018803463]   [0.010544452261306502]   400.0
2       2    10000.0  14999.0   [9727.000000000002]      [-1.077191852978511]     [-0.9787594728232737]   [0.011284030150753719]   400.0
3       3    15000.0  19999.0            [9719.432]     [-1.0046866491139583]     [-0.9818624680078981]   [0.011410010050251222]   400.0
4       4    20000.0  24999.0   [9722.000000000002]     [-1.0315913729617592]     [-0.9779116099421598]   [0.011827266331658252]   400.0
5       5    25000.0  29999.0   [9722.000000000002]     [-0.9133478306765578]     [-0.9779116099421579]   [0.012885618090452229]   400.0
6       6    30000.0  34999.0   [9722.000000000002]     [-0.7541259347511842]     [-0.9779116099421586]    [0.01200375879396981]   400.0
7       7    35000.0  39999.0   [9722.000000000002]     [-0.8781137783279147]     [-0.9779116099421586]   [0.012909788944723576]   400.0
8       8    40000.0  44999.0   [9722.000000000002]     [-0.9051925472193161]     [-0.9779116099421579]   [0.011606934673366784]   400.0
9       9    45000.0  49999.0   [9603.807200000001]     [-0.8500808225720684]      [-0.997969563892758]   [0.012562994974874338]   400.0
10     10    50000.0  54999.0   [9238.000000000002]      [-1.058004126120773]       [-1.06330149787728]   [0.011523236180904492]   400.0
11     11    55000.0  59999.0   [9238.000000000004]      [-1.016473160083336]     [-1.0633014978772797]    [0.01151240201005022]   400.0
