    n_win  win_start  win_end      seg_sites_branch            tajimas_d_site          tajimas_d_branch                diversity     Gen
14     14    70000.0  74999.0  [12096.345350896014]     [-1.2355501302902596]     [-1.3237581729436128]   [0.012844542713567768]  8295.0
15     15    75000.0  79999.0  [12096.345350896016]     [-1.3264742069213846]     [-1.3237581729435983]   [0.011851698492462238]  8295.0
16     16    80000.0  84999.0  [12096.345350896017]     [-1.3273600057659536]     [-1.3237581729435974]   [0.012348241206030078]  8295.0
17     17    85000.0  89999.0  [12096.401350896018]     [-1.0421593457658265]      [-1.323687895953364]   [0.014055326633165796]  8295.0
18     18    90000.0  94999.0  [12097.345350896016]      [-1.324460868160328]     [-1.3225033246174507]   [0.010778150753768808]  8295.0
19     19    95000.0  99999.0  [12097.345350896017]     [-1.4446131549662644]     [-1.3225033246174511]    [0.01176848241206022]  8295.0
0       0        0.0   4999.0              [9066.0]     [-0.9555228453750292]     [-0.7342985356958217]    [0.01046499497487434]  8300.0
1       1     5000.0   9999.0              [9066.0]     [-0.8792772909360227]     [-0.7342985356958228]    [0.01114253266331656]  8300.0
2       2    10000.0  14999.0              [9066.0]     [-0.8316388341663178]     [-0.7342985356958217]   [0.012003477386934634]  8300.0
3       3    15000.0  19999.0              [9066.0]      [-0.891804518267649]     [-0.7342985356958213]   [0.010589105527638167]  8300.0
4       4    20000.0  24999.0            [8968.848]     [-0.5508435291109268]     [-0.7088032072742548]   [0.011530472361809003]  8300.0
5       5    25000.0  29999.0           [8934.4298]     [-0.5589805486922639]     [-0.7002101501971926]   [0.011523226130653225]  8300.0
6       6    30000.0  34999.0              [8905.0]     [-0.7443467068177089]     [-0.6937792548379973]   [0.011710814070351698]  8300.0
7       7    35000.0  39999.0           [8901.3676]     [-0.4100191691889718]     [-0.6902987072508127]   [0.014433306532663297]  8300.0
8       8    40000.0  44999.0           [8867.0704]     [-0.7334666109551339]     [-0.6713256207305923]   [0.011999648241205994]  8300.0
9       9    45000.0  49999.0              [8863.0]     [-0.7056424188859516]     [-0.6702651587773438]   [0.011655517587939673]  8300.0
10     10    50000.0  54999.0           [8853.4528]     [-0.7648490536922059]     [-0.6658400207765998]   [0.011405125628140656]  8300.0
11     11    55000.0  59999.0              [8829.0]     [-0.6056890491508135]     [-0.6544624740819374]   [0.010904241206030105]  8300.0
12     12    60000.0  64999.0           [8813.3184]     [-0.5641295146691665]     [-0.6562006730038319]    [0.01228803015075374]  8300.0
13     13    65000.0  69999.0   [9798.496986672388]      [-0.752144257772691]      [-0.899050107875365]   [0.013346512562814045]  8300.0
14     14    70000.0  74999.0  [12059.345350896014]     [-1.2222879974561272]     [-1.3048514587399944]   [0.013185025125628101]  8300.0
15     15    75000.0  79999.0  [12059.345350896016]     [-1.2949758381652674]     [-1.3048514587399838]   [0.011825115577889383]  8300.0
16     16    80000.0  84999.0  [12059.345350896017]      [-1.291836936885986]     [-1.3048514587399835]   [0.012580994974874311]  8300.0
17     17    85000.0  89999.0   [12059.34535089602]     [-0.9855594760083184]     [-1.3048514587399835]   [0.014137829145728647]  8300.0
18     18    90000.0  94999.0  [12059.345350896016]      [-1.329721135875275]      [-1.304851458739983]   [0.010968713567839168]  8300.0
19     19    95000.0  99999.0  [12059.345350896017]     [-1.4631178749136884]      [-1.304851458739983]   [0.011775879396984852]  8300.0
0       0        0.0   4999.0  [12001.234118754788]     [-1.1688829893922845]      [-1.066270096154991]   [0.013212592964824112]  8395.0
1       1     5000.0   9999.0   [12001.23411875479]     [-1.0605896054115531]     [-1.0662700961549902]    [0.01322627135678392]  8395.0
2       2    10000.0  14999.0  [12001.234118754783]      [-1.121518866003374]     [-1.0662700961549914]    [0.01405296482412063]  8395.0
3       3    15000.0  19999.0  [12001.234118754786]      [-1.130160506536653]      [-1.066270096154995]   [0.012355055276381888]  8395.0
4       4    20000.0  24999.0  [12019.213453445931]     [-0.9737814136317464]       [-1.06629273417414]    [0.01380794974874373]  8395.0
5       5    25000.0  29999.0  [12048.345350896016]       [-1.06949341401254]     [-1.0663292711063057]   [0.013923839195979924]  8395.0
6       6    30000.0  34999.0  [12048.345350896017]     [-1.0505678948821169]     [-1.0663292711063062]   [0.013034954773869338]  8395.0
7       7    35000.0  39999.0  [12048.345350896016]     [-0.8245933002902448]     [-1.0663292711063084]   [0.015414080402010097]  8395.0
8       8    40000.0  44999.0  [11983.574150896016]     [-1.0790390577453393]     [-1.0553343122894836]   [0.014179567839196026]  8395.0
9       9    45000.0  49999.0  [11970.345350896012]     [-1.0178036606808172]      [-1.053074081214725]   [0.013512844221105538]  8395.0
10     10    50000.0  54999.0   [11970.34535089602]     [-1.2036067287880385]     [-1.0530740812147288]   [0.012902452261306522]  8395.0
11     11    55000.0  59999.0  [11970.345350896012]     [-1.0788740664715224]     [-1.0530740812147308]   [0.013181879396984923]  8395.0
12     12    60000.0  64999.0  [11970.345350896016]     [-0.9507270524481132]     [-1.0530740812147312]    [0.01383003015075378]  8395.0
13     13    65000.0  69999.0  [11969.433350896014]     [-0.9068099480834247]     [-1.0276717948734797]    [0.01576554773869346]  8395.0
14     14    70000.0  74999.0  [11967.345350896014]     [-0.9247601540110107]     [-0.9694993496379469]   [0.014524040201004994]  8395.0
15     15    75000.0  79999.0  [11967.345350896016]     [-1.0272766198073076]     [-0.9694993496379491]    [0.01405877386934671]  8395.0
16     16    80000.0  84999.0  [11967.345350896017]     [-1.0262986952415452]     [-0.9694993496379494]   [0.015297477386934651]  8395.0
17     17    85000.0  89999.0   [11967.34535089602]     [-0.8737394267442496]     [-0.9694993496379501]   [0.015171296482412056]  8395.0
18     18    90000.0  94999.0  [11967.345350896016]     [-1.0492846587693887]     [-0.9694993496379491]   [0.012743557788944681]  8395.0
19     19    95000.0  99999.0  [11967.345350896017]     [-1.0613054622644655]     [-0.9694993496379503]   [0.013633788944723562]  8395.0
0       0        0.0   4999.0  [11121.234118754788]    [-0.33091973264129837]    [-0.34243744430419465]   [0.016889969849246268]  8400.0
1       1     5000.0   9999.0   [11121.23411875479]     [-0.4370931863411633]     [-0.3424374443041946]    [0.01676764824120605]  8400.0
2       2    10000.0  14999.0  [11121.234118754785]    [-0.32664007953228524]     [-0.3424374443041953]   [0.017313095477386957]  8400.0
3       3    15000.0  19999.0  [11121.234118754783]    [-0.46069111743554275]     [-0.3424374443041928]   [0.015252291457286429]  8400.0
4       4    20000.0  24999.0  [11139.213453445933]       [-0.29601737803208]    [-0.33990766912397474]   [0.016723517587939732]  8400.0
5       5    25000.0  29999.0  [11168.345350896017]     [-0.3683530388282687]    [-0.33582596771348033]   [0.017394562814070372]  8400.0
6       6    30000.0  34999.0  [11171.117350896016]    [-0.38717366667808495]      [-0.335497824194891]   [0.015930301507537718]  8400.0
7       7    35000.0  39999.0  [11190.345350896014]    [-0.13654373001399456]    [-0.33322612897943793]   [0.018226291457286478]  8400.0
8       8    40000.0  44999.0  [11125.574150896016]     [-0.3602304180373676]      [-0.317989840927932]    [0.01729296482412065]  8400.0
9       9    45000.0  49999.0  [11112.345350896012]     [-0.3646568474562429]     [-0.3148561551862714]    [0.01629918592964825]  8400.0
10     10    50000.0  54999.0  [11112.345350896017]      [-0.519035360614343]     [-0.3148561551862732]    [0.01610059296482414]  8400.0
11     11    55000.0  59999.0  [11134.446350896014]    [-0.17412531545551235]    [-0.32111171765302277]    [0.01713340703517591]  8400.0
12     12    60000.0  64999.0  [11164.345350896017]     [-0.2530857614845415]     [-0.3296367744976862]    [0.01703280402010052]  8400.0
13     13    65000.0  69999.0  [11161.296550896015]     [-0.1162044910769992]    [-0.28441170768259355]   [0.019430351758794005]  8400.0
14     14    70000.0  74999.0  [11164.764950896015]   [-0.033930499291879995]    [-0.16628311007042498]    [0.01846425125628144]  8400.0
15     15    75000.0  79999.0  [11179.345350896014]    [-0.20083263294009948]    [-0.18900011195391833]   [0.017717216080402012]  8400.0
16     16    80000.0  84999.0  [11179.345350896017]     [-0.1360633003367971]    [-0.18900011195392016]   [0.019860241206030166]  8400.0
17     17    85000.0  89999.0   [11179.34535089602]      [-0.179774067074867]     [-0.1890001119539208]    [0.01819501507537692]  8400.0
18     18    90000.0  94999.0  [11178.387350896015]     [-0.3757840545732779]     [-0.1885536979152435]    [0.01635580904522615]  8400.0
19     19    95000.0  99999.0  [11178.345350896017]    [-0.30368512212641763]      [-0.188534124776496]   [0.017420080402010055]  8400.0
0       0        0.0   4999.0  [10607.234118754788]     [-0.6036967543369096]     [-0.6145871700080604]   [0.014624472361809018]  8495.0
1       1     5000.0   9999.0   [10607.23411875479]     [-0.6000197323380451]     [-0.6145871700080611]   [0.014922512562814027]  8495.0
2       2    10000.0  14999.0  [10607.234118754786]     [-0.5964112046752252]     [-0.6145871700080605]   [0.015109819095477362]  8495.0
3       3    15000.0  19999.0  [10607.234118754786]     [-0.8169704369865005]     [-0.6145871700080582]   [0.012943165829145696]  8495.0
4       4    20000.0  24999.0  [10625.213453445931]    [-0.47346199610870515]     [-0.6119528302289887]   [0.015152311557788912]  8495.0
5       5    25000.0  29999.0  [10654.345350896017]     [-0.6771171736761593]     [-0.6077032862311578]   [0.014750733668341676]  8495.0
6       6    30000.0  34999.0  [10654.345350896017]     [-0.7564884359938336]     [-0.6077032862311578]   [0.013975206030150716]  8495.0
7       7    35000.0  39999.0  [10654.345350896014]    [-0.41215541147895063]     [-0.6077032862311562]    [0.01567036180904519]  8495.0
8       8    40000.0  44999.0  [10654.345350896016]     [-0.6273482214051516]     [-0.6077032862311561]   [0.014436753768844185]  8495.0
9       9    45000.0  49999.0  [10654.345350896012]     [-0.6481993756066223]      [-0.607703286231155]    [0.01426563819095474]  8495.0
10     10    50000.0  54999.0   [10654.34535089602]     [-0.5620244934248568]      [-0.607703286231156]   [0.013704783919597969]  8495.0
11     11    55000.0  59999.0  [10654.345350896014]      [-0.605440814090737]     [-0.6077032862311549]   [0.014725407035175855]  8495.0
12     12    60000.0  64999.0  [10654.345350896017]      [-0.626875888151719]     [-0.6077032862311561]    [0.01441193969849243]  8495.0
13     13    65000.0  69999.0  [10654.345350896014]     [-0.4665858512829604]     [-0.6077032862311545]   [0.016181296482412018]  8495.0
14     14    70000.0  74999.0  [10654.345350896014]     [-0.6393552618852093]     [-0.6077032862311555]   [0.014998060301507505]  8495.0
15     15    75000.0  79999.0  [10657.057350896015]      [-0.567180830678087]     [-0.5991828680193015]   [0.014436341708542704]  8495.0
16     16    80000.0  84999.0  [10670.388350896017]     [-0.4432771046584712]     [-0.5735828243960073]   [0.016054311557788904]  8495.0
17     17    85000.0  89999.0  [10715.842150896018]     [-0.4556397877264618]      [-0.615328329350143]   [0.015689959798994978]  8495.0
18     18    90000.0  94999.0  [10750.345350896016]     [-0.6804878612396675]      [-0.651140684309826]   [0.013494050251256271]  8495.0
19     19    95000.0  99999.0  [10750.345350896017]     [-0.6329678715041879]     [-0.6511406843098259]   [0.014514884422110524]  8495.0
0       0        0.0   4999.0  [10647.234118754788]    [-0.06275515037084693]    [-0.26357126655996815]     [0.0170276683417086]  8500.0
1       1     5000.0   9999.0   [10647.23411875479]      [-0.201915375685215]    [-0.26357126655996777]   [0.017040331658291486]  8500.0
2       2    10000.0  14999.0  [10647.234118754785]    [-0.21850812974977488]    [-0.26357126655997387]   [0.017232070351758853]  8500.0
3       3    15000.0  19999.0  [10647.234118754786]     [-0.5221242090088799]    [-0.26357126655997887]   [0.014654160804020119]  8500.0
4       4    20000.0  24999.0  [10665.213453445931]    [-0.15211949364453958]     [-0.2590769828740117]   [0.017355035175879465]  8500.0
5       5    25000.0  29999.0  [10694.345350896017]     [-0.3580744790650921]     [-0.2518269790266184]   [0.016882050251256334]  8500.0
6       6    30000.0  34999.0  [10718.235350896017]    [-0.41062546314658827]    [-0.28559678473137573]   [0.015738402010050268]  8500.0
7       7    35000.0  39999.0  [10719.345350896014]    [-0.19047111859569818]     [-0.2871621703247954]   [0.017233396984924657]  8500.0
8       8    40000.0  44999.0  [10719.345350896014]     [-0.2931292149936072]    [-0.28716217032479574]   [0.016213628140703523]  8500.0
9       9    45000.0  49999.0  [10719.345350896012]    [-0.30035075573701087]    [-0.28716217032479613]   [0.015926311557788946]  8500.0
10     10    50000.0  54999.0  [10719.345350896017]    [-0.24672880261973112]     [-0.2871621703247993]    [0.01574823115577889]  8500.0
11     11    55000.0  59999.0  [10719.345350896012]    [-0.28236511924729507]    [-0.28716217032480273]    [0.01677082412060304]  8500.0
12     12    60000.0  64999.0  [10719.345350896017]    [-0.28424408691405856]     [-0.2871621703248039]   [0.016263055276381923]  8500.0
13     13    65000.0  69999.0  [10719.345350896014]    [-0.19663856319476672]    [-0.28716217032480335]   [0.018189698492462332]  8500.0
14     14    70000.0  74999.0  [10719.345350896014]    [-0.27524386226389075]    [-0.28716217032480335]    [0.01702973869346736]  8500.0
15     15    75000.0  79999.0  [10722.057350896015]    [-0.27909088879759286]     [-0.2801216369871518]   [0.016198371859296522]  8500.0
16     16    80000.0  84999.0  [10730.536350896018]     [-0.1649340810298943]     [-0.2590003542224449]   [0.018542673366834257]  8500.0
17     17    85000.0  89999.0  [10760.842150896018]    [-0.13511701092773792]     [-0.3058904063432318]    [0.01741895477386939]  8500.0
18     18    90000.0  94999.0  [10795.345350896016]    [-0.39223572606257684]     [-0.3486183737328654]   [0.015063788944723624]  8500.0
19     19    95000.0  99999.0  [10795.345350896017]     [-0.1984267851818447]     [-0.3486183737328663]   [0.016484723618090495]  8500.0
0       0        0.0   4999.0  [10718.234118754788]     [0.04717254129789431]    [0.002403602677516871]    [0.01931595979899508]  8595.0
1       1     5000.0   9999.0   [10718.23411875479]     [0.13855582776653425]    [0.002403602677517531]   [0.019644904522613124]  8595.0
2       2    10000.0  14999.0  [10677.634318754783]    [-0.15780555411393743]    [-0.12216952021200632]    [0.01806778894472365]  8595.0
3       3    15000.0  19999.0  [10622.234118754786]     [-0.6238946388198365]     [-0.4559849612403871]   [0.013576462311557796]  8595.0
4       4    20000.0  24999.0  [10640.213453445931]     [-0.5672045911886667]     [-0.4513631535808358]     [0.0157281005025126]  8595.0
5       5    25000.0  29999.0  [10669.345350896017]    [-0.49869249764163553]     [-0.4439075103133241]   [0.015473376884422121]  8595.0
6       6    30000.0  34999.0  [10669.345350896017]     [-0.5433695196395324]    [-0.44390751031332676]   [0.014538211055276392]  8595.0
7       7    35000.0  39999.0  [10681.970550896014]     [-0.5074397820532808]     [-0.4488811026881584]    [0.01582541708542718]  8595.0
8       8    40000.0  44999.0  [10711.345350896014]     [-0.5007788857847497]    [-0.46040768593958536]   [0.015058492462311565]  8595.0
9       9    45000.0  49999.0  [10711.345350896012]     [-0.4881442374436687]    [-0.46040768593958403]   [0.014781778894472384]  8595.0
10     10    50000.0  54999.0  [10711.345350896017]     [-0.5940966943917829]     [-0.4604076859395848]   [0.015123206030150755]  8595.0
11     11    55000.0  59999.0  [10680.145350896013]     [-0.4234592293495492]     [-0.4403129494073317]     [0.0160213668341709]  8595.0
12     12    60000.0  64999.0  [10503.345350896017]     [-0.3466838846086953]    [-0.32418778045853036]   [0.015824492462311587]  8595.0
13     13    65000.0  69999.0  [10503.345350896014]    [-0.06055635290392396]     [-0.3241877804585278]   [0.017674492462311606]  8595.0
14     14    70000.0  74999.0  [10501.293950896013]    [-0.40589611508405343]     [-0.3236305584938548]   [0.016539346733668397]  8595.0
15     15    75000.0  79999.0  [10447.965750896014]     [-0.3989881035530942]    [-0.30255875264494986]    [0.01604271356783922]  8595.0
16     16    80000.0  84999.0  [10548.345350896017]     [-0.2800628927541065]     [-0.2699538455183352]   [0.017779427135678434]  8595.0
17     17    85000.0  89999.0   [10548.34535089602]    [-0.15016250125822742]     [-0.2699538455183341]   [0.017690884422110604]  8595.0
18     18    90000.0  94999.0  [10548.345350896016]    [-0.35895519202061543]     [-0.2699538455183329]   [0.015363025125628187]  8595.0
19     19    95000.0  99999.0  [10549.907150896017]    [-0.20354779522915772]    [-0.27038415131075066]   [0.017414020100502553]  8595.0
0       0        0.0   4999.0  [10639.234118754788]    [-0.08241581229240293]     [-0.1220245639382347]   [0.018480964824120632]  8600.0
1       1     5000.0   9999.0   [10639.23411875479]     [0.04227920174936476]    [-0.12202456393823537]    [0.01852795979899497]  8600.0
2       2    10000.0  14999.0  [10620.917118754784]    [-0.10978632098129311]    [-0.20627506312229232]    [0.01739804020100509]  8600.0
3       3    15000.0  19999.0  [10574.234118754786]     [-0.5457377396079173]      [-0.422317137498412]   [0.013760904522613058]  8600.0
4       4    20000.0  24999.0  [10592.213453445931]     [-0.4287546292227045]    [-0.41752242297330944]    [0.01575457286432167]  8600.0
5       5    25000.0  29999.0  [10621.345350896017]     [-0.4719830374296995]    [-0.40978801098589107]   [0.015742241206030204]  8600.0
6       6    30000.0  34999.0  [10621.345350896017]     [-0.5698219892179718]     [-0.4097880109858881]    [0.01459024120603017]  8600.0
7       7    35000.0  39999.0  [10633.970550896014]     [-0.4177395486733803]    [-0.41422304567495133]    [0.01593563819095482]  8600.0
8       8    40000.0  44999.0  [10663.345350896016]     [-0.5399180830696356]     [-0.4245013087216089]   [0.015010994974874401]  8600.0
9       9    45000.0  49999.0  [10663.345350896012]    [-0.35497452101069876]     [-0.4245013087216083]   [0.014747819095477408]  8600.0
10     10    50000.0  54999.0   [10663.34535089602]    [-0.42778779680473944]    [-0.42450130872160813]   [0.015080361809045255]  8600.0
11     11    55000.0  59999.0  [10632.145350896015]    [-0.40803826768041024]    [-0.40446783399728486]   [0.016348150753768907]  8600.0
12     12    60000.0  64999.0  [10455.345350896016]    [-0.38964982249919183]    [-0.28868636896837185]    [0.01585641206030154]  8600.0
13     13    65000.0  69999.0  [10455.345350896014]    [0.008200536640918448]    [-0.28868636896837085]    [0.01771919597989957]  8600.0
14     14    70000.0  74999.0  [10453.293950896013]     [-0.3517493071524724]    [-0.28811849690044905]   [0.016676683417085482]  8600.0
15     15    75000.0  79999.0  [10423.606550896015]     [-0.3397655187538139]     [-0.2768877138987105]   [0.016198020100502527]  8600.0
16     16    80000.0  84999.0  [10529.345350896017]     [-0.2957448638385987]    [-0.27643275837958375]   [0.017746150753768876]  8600.0
17     17    85000.0  89999.0   [10529.34535089602]    [-0.06318075878007065]    [-0.27643275837958375]   [0.017559587939698525]  8600.0
18     18    90000.0  94999.0  [10529.345350896016]    [-0.33110645695238833]    [-0.27643275837958314]   [0.015421547738693494]  8600.0
19     19    95000.0  99999.0  [10530.907150896017]    [-0.21105765510346305]    [-0.27686372945937543]   [0.017084010050251296]  8600.0
0       0        0.0   4999.0  [10917.234118754788]      [0.5326076799428682]      [0.3913584642903961]   [0.022433155778894553]  8695.0
1       1     5000.0   9999.0   [10917.23411875479]      [0.5625302752244825]      [0.3913584642903968]   [0.022972291457286534]  8695.0
2       2    10000.0  14999.0  [11053.851718754784]      [0.4571511710291561]      [0.3769331544349582]    [0.02174764824120612]  8695.0
3       3    15000.0  19999.0  [11085.234118754786]     [0.10001456727227806]      [0.3736697386710743]    [0.01850596984924629]  8695.0
4       4    20000.0  24999.0  [11103.213453445931]      [0.3475297822268198]     [0.38323327538428076]   [0.021248301507537773]  8695.0
5       5    25000.0  29999.0  [11132.345350896017]      [0.3916595684465719]     [0.39866348706928656]   [0.022160894472361865]  8695.0
6       6    30000.0  34999.0  [11132.345350896017]     [0.15048291086208573]      [0.3986634870692897]   [0.020392010050251305]  8695.0
7       7    35000.0  39999.0  [11132.345350896014]     [0.21181621552878632]      [0.3986634870692905]   [0.019857105527638263]  8695.0
8       8    40000.0  44999.0  [11132.345350896016]      [0.2747543206562052]      [0.3986634870692898]   [0.020813587939698543]  8695.0
9       9    45000.0  49999.0  [11132.345350896012]     [0.23902157141568883]     [0.39866348706929183]   [0.019649336683417118]  8695.0
10     10    50000.0  54999.0  [11132.345350896017]      [0.5068860971800636]      [0.3986634870692916]   [0.020230763819095502]  8695.0
11     11    55000.0  59999.0  [11099.510750896017]      [0.5273793319437063]     [0.37398187704563385]    [0.02172854271356789]  8695.0
12     12    60000.0  64999.0  [10913.345350896017]     [0.22287697322008132]     [0.23050734359606245]   [0.019411718592964894]  8695.0
13     13    65000.0  69999.0  [10912.844950896015]     [0.31573868424579526]     [0.23078686093981407]    [0.02053512562814079]  8695.0
14     14    70000.0  74999.0  [10884.245150896015]      [0.3880938611562315]      [0.2198207642490659]   [0.020537145728643284]  8695.0
15     15    75000.0  79999.0  [10849.345350896014]     [0.17687437483358837]     [0.13189234158410545]   [0.019115537688442232]  8695.0
16     16    80000.0  84999.0  [10849.345350896017]      [0.4116690517290775]     [0.13189234158410737]   [0.021708201005025157]  8695.0
17     17    85000.0  89999.0   [10849.34535089602]    [0.010908503904713075]     [0.13189234158410018]    [0.01916920603015077]  8695.0
18     18    90000.0  94999.0  [10849.345350896016]      [0.1557839304479951]     [0.13189234158410215]   [0.017889939698492462]  8695.0
19     19    95000.0  99999.0  [10842.202350896017]      [0.3121661407195168]     [0.13398830427443006]   [0.020364954773869383]  8695.0
0       0        0.0   4999.0  [11282.898518754788]      [0.5348813794543654]     [0.28802568692361774]   [0.022684884422110644]  8700.0
1       1     5000.0   9999.0   [11260.23411875479]     [0.46317485225915717]     [0.29070195730577586]   [0.022990160804020183]  8700.0
2       2    10000.0  14999.0  [11396.851718754784]      [0.3725515210597887]      [0.2867092885746039]   [0.022043336683417177]  8700.0
3       3    15000.0  19999.0  [11428.234118754786]   [-0.014359930290101438]       [0.285805616061519]    [0.01874757788944729]  8700.0
4       4    20000.0  24999.0  [11446.213453445931]     [0.24406566551143585]      [0.2952010826982625]   [0.021472592964824202]  8700.0
5       5    25000.0  29999.0  [11475.345350896017]      [0.3690503388093884]      [0.3103620487249082]    [0.02240117587939704]  8700.0
6       6    30000.0  34999.0  [11475.345350896017]     [0.10082801304082298]      [0.3103620487249094]    [0.02061742713567846]  8700.0
7       7    35000.0  39999.0  [11475.345350896016]      [0.2324907335889192]      [0.3103620487249126]   [0.019867618090452312]  8700.0
8       8    40000.0  44999.0  [11475.345350896016]     [0.20456288541955733]      [0.3103620487249089]    [0.02115465326633172]  8700.0
9       9    45000.0  49999.0  [11475.345350896014]     [0.14566520135747127]      [0.3103620487249095]   [0.019686623115577957]  8700.0
10     10    50000.0  54999.0  [11475.345350896017]      [0.2464512598669121]     [0.31036204872491063]   [0.020387989949748792]  8700.0
11     11    55000.0  59999.0  [11442.510750896014]      [0.3874694533199044]      [0.2758140998697983]   [0.021791929648241296]  8700.0
12     12    60000.0  64999.0  [11256.345350896017]     [0.08065151272535619]     [0.07501490717820578]   [0.019305115577889522]  8700.0
13     13    65000.0  69999.0  [11256.345350896014]      [0.1271774979160056]     [0.07511270251461372]   [0.020002844221105636]  8700.0
14     14    70000.0  74999.0  [11246.135350896015]      [0.1348047306341792]     [0.06207222104875036]    [0.02036781909547745]  8700.0
15     15    75000.0  79999.0  [11228.345350896016]    [-0.02859214086666487]   [-0.015641734604857165]   [0.018967839195979927]  8700.0
16     16    80000.0  84999.0  [11228.345350896017]     [0.18965120688296347]    [-0.01564173460486032]   [0.021422783919598048]  8700.0
17     17    85000.0  89999.0   [11228.34535089602]     [-0.0927922206167656]   [-0.015641734604865357]   [0.018750412060301522]  8700.0
18     18    90000.0  94999.0  [11228.345350896016]    [-0.14388447899542456]   [-0.015641734604865364]   [0.017727195979899513]  8700.0
19     19    95000.0  99999.0  [11221.202350896016]      [0.1275333509512222]   [-0.014722976986408532]   [0.020111165829145766]  8700.0
0       0        0.0   4999.0  [10482.234118754788]       [0.523859787480215]      [0.4256611457813882]   [0.022618120603015164]  8795.0
1       1     5000.0   9999.0   [10482.23411875479]      [0.6938632315986762]     [0.42566114578138675]   [0.022117738693467382]  8795.0
2       2    10000.0  14999.0  [10618.591918754786]      [0.4665842468356432]     [0.40631467946160077]      [0.020829487437186]  8795.0
3       3    15000.0  19999.0  [10649.234118754786]      [0.2831124893859332]     [0.38305385491529315]   [0.017382361809045312]  8795.0
4       4    20000.0  24999.0  [10667.213453445931]     [0.30604211006999743]     [0.39297153941311513]   [0.019994060301507622]  8795.0
5       5    25000.0  29999.0  [10696.345350896017]      [0.5964607398626438]     [0.40897037599726727]   [0.021404321608040264]  8795.0
6       6    30000.0  34999.0  [10696.345350896017]      [0.1816259032754148]      [0.4089703759972666]   [0.020113437185929773]  8795.0
7       7    35000.0  39999.0  [10696.345350896014]       [0.320766165971316]      [0.4089703759972581]   [0.019104653266331695]  8795.0
8       8    40000.0  44999.0  [10696.345350896014]     [0.38043188200378636]      [0.4089703759972575]   [0.019998643216080463]  8795.0
9       9    45000.0  49999.0  [10696.345350896014]     [0.42756884577297743]     [0.40897037599725483]   [0.018796311557789026]  8795.0
10     10    50000.0  54999.0  [10696.345350896017]      [0.4594405355547521]     [0.40897037599725405]   [0.019894542713567942]  8795.0
11     11    55000.0  59999.0  [10665.145350896013]      [0.4372186535673364]     [0.39405853850745876]    [0.02077900502512571]  8795.0
12     12    60000.0  64999.0  [10488.345350896017]      [0.2445690891703524]     [0.30788235322861035]    [0.01913153768844227]  8795.0
13     13    65000.0  69999.0  [10488.345350896014]     [0.37734380539838275]      [0.3078823532286124]     [0.0200194572864322]  8795.0
14     14    70000.0  74999.0  [10488.345350896014]     [0.38897854804799853]      [0.3078823532286131]    [0.02012257286432166]  8795.0
15     15    75000.0  79999.0  [10488.345350896014]     [0.27012929590834256]      [0.3078823532286124]      [0.019383879396985]  8795.0
16     16    80000.0  84999.0  [10488.378150896016]     [0.46804903296027706]      [0.3079847659874704]    [0.02169534673366841]  8795.0
17     17    85000.0  89999.0   [10490.34535089602]     [0.13632809564553078]      [0.3141258626145689]   [0.019276944723618124]  8795.0
18     18    90000.0  94999.0  [10490.345350896016]       [0.242978723451035]      [0.3141258626145704]   [0.018939668341708602]  8795.0
19     19    95000.0  99999.0  [10490.104550896018]      [0.3807172302229778]     [0.31140175349560123]    [0.02064726633165831]  8795.0
0       0        0.0   4999.0  [10568.234118754788]      [0.4492747611281757]      [0.3345018424368426]   [0.022321447236181034]  8800.0
1       1     5000.0   9999.0   [10568.23411875479]      [0.6005576904026925]      [0.3345018424368412]   [0.021992613065326735]  8800.0
2       2    10000.0  14999.0  [10704.591918754782]      [0.4275301970708303]      [0.3043962031383847]    [0.02045390954773876]  8800.0
3       3    15000.0  19999.0  [10862.083718754786]      [0.1272932925748473]     [0.22640387478077084]    [0.01692429145728648]  8800.0
4       4    20000.0  24999.0  [10937.213453445931]     [0.18314043100149768]     [0.21863202814259883]   [0.019438773869346827]  8800.0
5       5    25000.0  29999.0  [10966.345350896017]      [0.5148572879987825]     [0.23478380889017283]    [0.02086627135678399]  8800.0
6       6    30000.0  34999.0  [10966.345350896017]     [0.18100503970066717]     [0.23478380889017217]   [0.019534412060301577]  8800.0
7       7    35000.0  39999.0  [10966.345350896014]     [0.05469112373705802]     [0.23478380889016834]   [0.018702592964824166]  8800.0
8       8    40000.0  44999.0  [10966.345350896016]     [0.04196672791276603]     [0.23478380889016315]   [0.019423065326633217]  8800.0
9       9    45000.0  49999.0  [10988.713350896012]      [0.4058902291925544]     [0.22785134129272472]    [0.01853085427135682]  8800.0
10     10    50000.0  54999.0  [11026.345350896017]        [0.24286731073068]     [0.21625159949143638]    [0.01919532663316589]  8800.0
11     11    55000.0  59999.0  [10995.145350896013]     [0.21751108519275858]      [0.1950791160060868]    [0.02032628140703526]  8800.0
12     12    60000.0  64999.0  [10818.345350896017]     [0.06178139529359032]     [0.07279495216962795]    [0.01856970854271362]  8800.0
13     13    65000.0  69999.0  [10818.345350896014]       [0.090468828931144]     [0.07279495216962863]   [0.019327718592964848]  8800.0
14     14    70000.0  74999.0  [10818.345350896014]      [0.1917855516132793]     [0.07279495216962928]   [0.019488321608040243]  8800.0
