       time  n_win  win_start   win_end  n_s_mut  n_n_mut  tajimas_d_site  tajimas_d_branch  diversity
300  1500.0      0        0.0   49999.0        3  1120448        2.894683          2.891660   3.217095
301  1500.0      1    50000.0   99999.0        1  1114003        3.033626          3.032801   3.090050
302  1500.0      2   100000.0  149999.0        1  1072907        3.379128          3.374334   3.193062
303  1500.0      3   150000.0  199999.0        0  1092642        3.588557          3.584269   3.292280
304  1500.0      4   200000.0  249999.0        1  1126873        3.683122          3.683477   3.231285
305  1500.0      5   250000.0  299999.0        1  1142987        2.957150          2.959215   3.000882
306  1500.0      6   300000.0  349999.0        1  1113675        2.303763          2.306198   2.996179
307  1500.0      7   350000.0  399999.0        1  1092479        2.473261          2.474910   2.869563
308  1500.0      8   400000.0  449999.0        1  1126673        3.419843          3.417180   3.446593
309  1500.0      9   450000.0  499999.0        1  1132642        3.290798          3.294110   3.477309
310  1500.0     10   500000.0  549999.0        1  1134868        3.303519          3.299668   3.300131
311  1500.0     11   550000.0  599999.0        1  1119058        3.102834          3.100845   2.968565
312  1500.0     12   600000.0  649999.0        1  1098326        3.128679          3.128332   3.060656
313  1500.0     13   650000.0  699999.0        1  1134528        2.769800          2.765101   3.480254
314  1500.0     14   700000.0  749999.0        1  1131376        2.459775          2.459426   3.185594
315  1500.0     15   750000.0  799999.0        1  1136202        2.837040          2.831982   3.347901
316  1500.0     16   800000.0  849999.0        1  1112850        2.676542          2.680853   3.054879
317  1500.0     17   850000.0  899999.0        1  1128502        2.315395          2.310106   3.092152
318  1500.0     18   900000.0  949999.0        1  1112028        2.456601          2.454669   3.089585
319  1500.0     19   950000.0  999999.0        0  1057973        2.808666          2.802011   3.115761
320  1600.0      0        0.0   49999.0        3  1120448        2.772669          2.766520   3.198790
321  1600.0      1    50000.0   99999.0        1  1114003        3.162363          3.161028   3.153535
322  1600.0      2   100000.0  149999.0        1  1072907        3.303971          3.298624   3.157107
323  1600.0      3   150000.0  199999.0        0  1092642        3.553414          3.550432   3.274597
324  1600.0      4   200000.0  249999.0        1  1126873        3.664228          3.666787   3.221241
325  1600.0      5   250000.0  299999.0        1  1142987        2.643511          2.643965   2.848100
326  1600.0      6   300000.0  349999.0        1  1113675        2.002448          2.006592   2.832458
327  1600.0      7   350000.0  399999.0        1  1092479        2.239640          2.241150   2.751418
328  1600.0      8   400000.0  449999.0        1  1126673        3.096190          3.093256   3.279071
329  1600.0      9   450000.0  499999.0        1  1132642        3.371846          3.372754   3.520268
330  1600.0     10   500000.0  549999.0        1  1134868        2.495773          2.494852   2.955982
331  1600.0     11   550000.0  599999.0        1  1119058        2.631207          2.629585   3.056480
332  1600.0     12   600000.0  649999.0        1  1098326        2.789537          2.786642   3.134068
333  1600.0     13   650000.0  699999.0        1  1134528        2.750984          2.747483   3.515193
334  1600.0     14   700000.0  749999.0        1  1131376        2.840058          2.841564   3.398008
